ID,Quant,Part #,Manufacturer,Description,Each,Total,Source
"Q2, Q3",2,2N7002K,Fairchild,N Channel MOSFET,$0.28,$0.56,Mouser/Digikey/Newark
Q1,1,NDS332P,Fairchild,P Channel MOSFET ,$0.52,$0.52,Mouser/Digikey/Newark
MCP,1,MCP73831,Microchip,Battery charge controller,$0.67,$0.67,Mouser/Digikey/Newark
"C1, C3",2,(various),(various),4.7uF ceramic capacitor,$0.30,$0.60,Mouser/Digikey/Newark/Radioshack
C2,1,(various),(various),1uF ceramic capacitor,$0.30,$0.30,Mouser/Digikey/Newark/Radioshack
R1,1,(various),(various),100 Kohm resistor,$0.05,$0.05,Mouser/Digikey/Newark/Radioshack
R2,1,(various),(various),470 ohm resistor,$0.05,$0.05,Mouser/Digikey/Newark/Radioshack
R3,1,(various),(various),2 Kohm resistor,$0.05,$0.05,Mouser/Digikey/Newark/Radioshack
RED,1,(various),(various),5mm Red LED,$0.15,$0.15,Mouser/Digikey/Newark/Radioshack
N/A,1,PRT-10319,Sony,3.6V 110mAh coin cell,$2.95,$2.95,Sparkfun
N/A,1,TinyBot 0.1,dirtypcbs.com,PCB,$1.40,$1.40,Dirtypcbs.com
1068,1,1068,Keystone,Vertical coin cell holder,$1.79,$1.79,Mouser
MOTOR,2,(various),(various),Pager type motor,$1.00,$2.00,Ebay?
SOCKET,1,4808-3004-CP,3M,DIP Socket,$0.30,$0.30,Mouser/Digikey/Newark/Radioshack
N/A,1,ATTINY85,Atmel,Microcontroller,$1.30,$1.30,Mouser/Digikey/Newark
GRAND TOTAL,,,,,,$12.69,
